Date,Close,Open,High,Low,Volumn
2011-12-19,231.74,238.3,238.35,227.54,"145,243"
2011-12-20,233.83,233.79,234.49,232.25,"81,004"
2011-12-21,241.51,240.01,241.87,239.1,"100,367"
2011-12-22,241.4,240.5,241.4,239.67,"57,908"
2011-12-23,244.22,243.26,244.95,243.06,"82,084"
2011-12-26,242.64,244.96,245.1,242.04,"56,773"
2011-12-27,240.79,242.69,243.91,236.43,"77,865"
2011-12-28,238.15,239.44,239.44,237.28,"64,039"
2011-12-29,238.08,236.87,239.55,235.7,"63,991"
2012-01-02,238.7,239.04,239.96,236.81,"67,446"
2012-01-03,245.82,241.56,245.82,241.56,"91,374"
2012-01-04,244.24,246.89,247.06,244.16,"97,163"
2012-01-05,243.56,244.58,245.5,243.25,"90,096"
2012-01-06,240.57,243.97,243.97,237.88,"84,538"
2012-01-09,238.02,238.88,238.99,235.95,"81,892"
2012-01-10,241.69,240.07,242.69,239.89,"101,265"
2012-01-11,240.83,242.19,242.29,240.46,"90,007"
2012-01-12,243.46,241.8,243.46,239.82,"109,240"
2012-01-13,245.28,243.6,246.06,243.02,"103,131"
2012-01-16,243.1,243.34,243.7,240.88,"77,774"
2012-01-17,247.81,245.79,247.82,245.76,"114,954"
2012-01-18,247.82,247.57,248.81,246.68,"108,636"
2012-01-19,251.27,250.6,251.34,249.15,"117,022"
2012-01-20,256.61,252.28,256.94,252.28,"137,408"
2012-01-25,257.14,256.22,260.07,256.1,"109,026"
2012-01-26,257.52,258.05,258.49,256.49,"92,234"
2012-01-27,258.65,258.01,258.88,256.38,"103,438"
2012-01-30,255.21,257.39,258.12,254.68,"97,917"
2012-01-31,256.9,255.45,257.88,254.09,"105,572"
2012-02-01,257.06,255.73,258.81,255.56,"125,418"
2012-02-02,260.35,260.18,261.96,259.25,"162,793"
2012-02-03,258.53,259.95,260.09,257.06,"114,436"
2012-02-06,258.93,261.65,262,257.65,"133,301"
2012-02-07,259.8,259.37,260.26,258.41,"169,725"
2012-02-08,262.94,260.26,262.94,259.96,"157,645"
2012-02-09,264.5,261.99,264.5,259.28,"146,867"
2012-02-10,261.17,263.6,263.77,260.19,"128,416"
2012-02-13,262.75,262.14,263.56,260.88,"92,770"
